subject,calories,satisfaction
1,2368,6
2,2216,7.6
3,2576,3.3
4,3035,3.5
5,1843,8.6
6,2350,5.9
7,3134,3.2
8,2507,3.5
9,2502,4.1
10,2775,3.5
11,1987,7
12,1911,7.7
13,1969,5.7
14,2834,4.9
15,2028,8.1
16,2807,5.1
17,2460,4.7
18,2397,3.5
19,2224,6.3
20,2287,8.3
21,2450,3.7
22,2341,5.6
23,2639,3.6
24,2369,5.1
25,2802,4.4
26,2176,4.6
27,2834,5.3
28,2083,6.5
29,2504,4.5
30,2412,4.3
31,2706,6.4
32,2793,2.7
33,3073,3.5
34,2805,4.2
35,2227,9.1
36,1883,7.9
37,2979,2
38,2569,3.3
39,2533,5.6
40,2206,5.2
41,2310,7.5
42,2360,6.7
43,2286,4.6
44,2958,4.6
45,2277,5.5
46,2481,5
47,2644,1.9
48,2403,7.7
49,2434,6.3
50,2197,4.7
51,1822,8.7
52,3418,0.8
53,2591,3.7
54,2612,4
55,3305,0.5
56,2577,3.2
57,2192,6.7
58,3489,1.3
59,1560,5.6
60,3304,0.3
61,2923,3.3
62,2663,4.3
63,2288,5
64,2256,6.8
65,2103,8.2
66,2984,2.9
67,2053,5.2
68,2730,6
69,2633,6.7
70,2922,2.1
71,2631,3.7
72,2653,2.5
73,2624,5
74,2860,3.3
75,2577,4.9
76,2834,3.6
77,2684,6.8
78,2469,5.6
79,1630,9.1
80,2123,8.8
81,2698,2.8
82,2324,5.4
83,2752,3.9
84,3006,4.3
85,2679,5.2
86,3120,0.1
87,3059,3.1
88,2821,3
89,2346,4.6
90,2578,3.9
91,2273,7
92,3127,0
93,2862,3.6
94,2947,4
95,2598,5.7
96,2333,5.9
97,2579,5
98,2518,2.4
99,2936,4.9
100,1962,8
101,2539,4.4
102,1826,7.7
103,2732,3.9
104,3231,1.7
105,3068,3.3
106,2211,6
107,2959,6.2
108,2599,4.5
109,2386,6.4
110,2471,4.3
111,2232,5.6
112,2623,4.6
113,2266,6.8
114,2170,5.2
115,2466,2.7
